Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2021-01-30,Prince Edward Island,Total population,"5,281","2,565",n/a,3.20%,1.60%,n/a
2021-01-30,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Nova Scotia,Total population,"12,090","2,729",n/a,1.20%,0.30%,n/a
2021-01-30,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,New Brunswick,Total population,"12,791","4,465",n/a,1.60%,0.60%,n/a
2021-01-30,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Quebec,Total population,"239,497",n/a,n/a,2.80%,n/a,n/a
2021-01-30,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Ontario,Total population,"270,795","68,849",n/a,1.80%,0.50%,n/a
2021-01-30,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Manitoba,Total population,"32,441","8,503",n/a,2.30%,0.60%,n/a
2021-01-30,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Saskatchewan,Total population,"27,229","3,072",n/a,2.30%,0.30%,n/a
2021-01-30,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Alberta,Total population,"90,238","15,994",n/a,2.00%,0.40%,n/a
2021-01-30,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,British Columbia,Total population,"135,503","4,592",n/a,2.60%,0.10%,n/a
2021-01-30,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Yukon,Total population,"7,355",0,n/a,17.10%,0%,n/a
2021-01-30,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Northwest Territories,Total population,"12,240",118,n/a,28.20%,0.30%,n/a
2021-01-30,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Nunavut,Total population,"5,464",0,n/a,13.90%,0%,n/a
2021-01-30,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Canada,Total population,"901,469","173,800",n/a,2.40%,0.50%,n/a
2021-02-06,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Newfoundland and Labrador,Total population,"8,890","4,068",n/a,1.70%,0.80%,n/a
2021-02-06,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Prince Edward Island,Total population,"5,304","3,513",n/a,3.20%,2.10%,n/a
2021-02-06,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Nova Scotia,Total population,"12,849","5,133",n/a,1.30%,0.50%,n/a
2021-02-06,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,New Brunswick,Total population,"13,251","5,413",n/a,1.70%,0.70%,n/a
2021-02-06,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Quebec,Total population,"257,501",n/a,n/a,3.00%,n/a,n/a
2021-02-06,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Ontario,Total population,"277,440","101,744",n/a,1.90%,0.70%,n/a
2021-02-06,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Manitoba,Total population,"33,641","13,643",n/a,2.40%,1.00%,n/a
2021-02-06,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Saskatchewan,Total population,"29,787","5,406",n/a,2.50%,0.50%,n/a
2021-02-06,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Alberta,Total population,"90,668","21,679",n/a,2.00%,0.50%,n/a
2021-02-06,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,British Columbia,Total population,"143,002","12,128",n/a,2.70%,0.20%,n/a
2021-02-06,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Yukon,Total population,"10,447",479,n/a,24.20%,1.10%,n/a
2021-02-06,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Northwest Territories,Total population,"12,830",299,n/a,29.50%,0.70%,n/a
2021-02-06,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Nunavut,Total population,"5,859",295,n/a,14.90%,0.70%,n/a
2021-02-06,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-06,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Canada,Total population,"973,098","307,369",n/a,2.50%,0.80%,n/a
2021-02-13,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Newfoundland and Labrador,Total population,"9,792","5,449",n/a,1.90%,1.00%,n/a
2021-02-13,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Prince Edward Island,Total population,"5,692","4,893",n/a,3.50%,3.00%,n/a
2021-02-13,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Nova Scotia,Total population,"14,727","8,039",n/a,1.50%,0.80%,n/a
2021-02-13,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,New Brunswick,Total population,"13,651","7,498",n/a,1.70%,1.00%,n/a
2021-02-13,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Quebec,Total population,"293,741",n/a,n/a,3.40%,n/a,n/a
2021-02-13,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Ontario,Total population,"292,983","174,643",n/a,2.00%,1.20%,n/a
2021-02-13,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Manitoba,Total population,"34,848","20,406",n/a,2.50%,1.50%,n/a
2021-02-13,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Saskatchewan,Total population,"32,883","9,545",n/a,2.80%,0.80%,n/a
2021-02-13,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Alberta,Total population,"94,996","50,682",n/a,2.10%,1.10%,n/a
2021-02-13,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,British Columbia,Total population,"149,190","22,634",n/a,2.90%,0.40%,n/a
2021-02-13,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Yukon,Total population,"10,524",867,n/a,24.40%,2.00%,n/a
2021-02-13,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Northwest Territories,Total population,"13,575",579,n/a,31.20%,1.30%,n/a
2021-02-13,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Nunavut,Total population,"6,496","2,134",n/a,16.50%,5.40%,n/a
2021-02-13,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-13,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Canada,Total population,"1,086,615","435,274",n/a,2.80%,1.10%,n/a
2021-02-20,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Newfoundland and Labrador,Total population,"10,436","6,112",n/a,2.00%,1.20%,n/a
2021-02-20,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Prince Edward Island,Total population,"6,453","5,156",n/a,3.90%,3.10%,n/a
2021-02-20,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Nova Scotia,Total population,"14,915","8,225",n/a,1.50%,0.80%,n/a
2021-02-20,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,New Brunswick,Total population,"15,266","11,027",n/a,1.90%,1.40%,n/a
2021-02-20,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Quebec,Total population,"345,985",n/a,n/a,4.00%,n/a,n/a
2021-02-20,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Ontario,Total population,"319,915","235,053",n/a,2.20%,1.60%,n/a
2021-02-20,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Manitoba,Total population,"36,279","25,197",n/a,2.60%,1.80%,n/a
2021-02-20,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Saskatchewan,Total population,"37,778","15,967",n/a,3.20%,1.40%,n/a
2021-02-20,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Alberta,Total population,"103,236","66,188",n/a,2.30%,1.50%,n/a
2021-02-20,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,British Columbia,Total population,"164,249","55,218",n/a,3.10%,1.10%,n/a
2021-02-20,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Yukon,Total population,"10,613","1,090",n/a,24.60%,2.50%,n/a
2021-02-20,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Northwest Territories,Total population,"14,517","1,934",n/a,33.40%,4.40%,n/a
2021-02-20,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Nunavut,Total population,"6,973","4,107",n/a,17.70%,10.40%,n/a
2021-02-20,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-20,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Canada,Total population,"1,381,565","538,405",n/a,3.60%,1.40%,n/a
2021-02-27,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Newfoundland and Labrador,Total population,"16,623","8,212",n/a,3.20%,1.60%,n/a
2021-02-27,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Prince Edward Island,Total population,"7,366","5,212",n/a,4.50%,3.20%,n/a
2021-02-27,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Nova Scotia,Total population,"19,734","12,618",n/a,2.00%,1.30%,n/a
2021-02-27,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,New Brunswick,Total population,"21,689","12,132",n/a,2.70%,1.50%,n/a
2021-02-27,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Quebec,Total population,"431,743",n/a,n/a,5.00%,n/a,n/a
2021-02-27,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Ontario,Total population,"425,162","261,923",n/a,2.90%,1.80%,n/a
2021-02-27,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Manitoba,Total population,"46,651","28,976",n/a,3.40%,2.10%,n/a
2021-02-27,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Saskatchewan,Total population,"46,304","23,462",n/a,3.90%,2.00%,n/a
2021-02-27,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Alberta,Total population,"139,961","87,407",n/a,3.20%,2.00%,n/a
2021-02-27,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,British Columbia,Total population,"192,763","84,022",n/a,3.70%,1.60%,n/a
2021-02-27,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Yukon,Total population,"10,959","4,802",n/a,25.40%,11.10%,n/a
2021-02-27,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Northwest Territories,Total population,"15,214","4,558",n/a,35.00%,10.50%,n/a
2021-02-27,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Nunavut,Total population,"7,396","5,081",n/a,18.80%,12.90%,n/a
2021-02-27,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-02-27,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Canada,Total population,"1,854,955","573,667",n/a,4.90%,1.50%,n/a
2021-03-06,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Newfoundland and Labrador,Total population,"21,087","9,136",n/a,4.10%,1.80%,n/a
2021-03-06,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Prince Edward Island,Total population,"8,667","5,507",n/a,5.30%,3.40%,n/a
2021-03-06,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Nova Scotia,Total population,"25,011","14,433",n/a,2.50%,1.50%,n/a
2021-03-06,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,New Brunswick,Total population,"26,317","12,142",n/a,3.30%,1.50%,n/a
2021-03-06,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Quebec,Total population,"548,031",n/a,n/a,6.40%,n/a,n/a
2021-03-06,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Ontario,Total population,"619,315","271,832",n/a,4.20%,1.80%,n/a
2021-03-06,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Manitoba,Total population,"59,400","30,362",n/a,4.30%,2.20%,n/a
2021-03-06,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Saskatchewan,Total population,"56,514","27,378",n/a,4.80%,2.30%,n/a
2021-03-06,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Alberta,Total population,"202,240","90,618",n/a,4.60%,2.00%,n/a
2021-03-06,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,British Columbia,Total population,"247,556","87,059",n/a,4.70%,1.70%,n/a
2021-03-06,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-03-06,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
